Conference,Domain,Category,Raw Tag,Cleaned Tag
FCCM,Field-programmable devices,Applications,Data center or cluster with reconfigurable applications,
FCCM,Field-programmable devices,Applications,New uses of run-time reconfiguration in applications-specific systems,
FCCM,Field-programmable devices,Applications,"Applications that utilize reconfigurable technology for performance and efficiency, and particularly submissions that make comparisons with other highly parallel architectures such as GPUs or DSPs",
FCCM,Field-programmable devices,Applications,Novel use of state-of-the-art commercial FPGAs,
FPGA,Field-programmable devices,NA,FPGA archtecture,
FPGA,Field-programmable devices,NA,FPGA circuit design,
FPGA,Field-programmable devices,NA,CAD for FPGAs,
FPGA,Field-programmable devices,NA,High-level abstractions and tools for FPGA,
FPGA,Field-programmable devices,NA,FPGA-based and FPGA-like computing engines,
FPGA,Field-programmable devices,NA,Applications and design studies,
FPL,Field-programmable devices,,,
